# p t_total_min t_total_avg t_total_max
1 2.6104e+09 2.6104e+09 2.6104e+09
2 1.33644e+09 1.33644e+09 1.33644e+09
4 6.90876e+08 6.90878e+08 6.90879e+08
8 5.70667e+08 5.70668e+08 5.7067e+08
16 2.8658e+08 2.86612e+08 2.86679e+08
32 1.4359e+08 1.43605e+08 1.43706e+08
64 7.18964e+07 7.20541e+07 7.21928e+07
