# p blocked_t_res_min blocked_t_res_avg blocked_t_res_max
1 723 723 723
2 701 743 785
4 1324 1412.25 1461
8 1749 1921.12 2093
16 7474 70716.9 119357
32 46723 115165 162863
64 64483 129151 173702
