# p t_red_min t_red_avg t_red_max
1 2453 2453 2453
2 6522 1.13332e+06 2.26012e+06
4 11378 53956.5 82475
8 9679 64596.8 152905
16 13413 103807 221565
32 10787 113058 215184
64 38995 120974 309944
