# p t_comm_min t_comm_avg t_comm_max
1 5540 5540 5540
2 19340 8.84351e+06 1.76677e+07
4 57545 4.81257e+07 9.63063e+07
8 130318 615902 1.179e+06
16 222845 537588 809986
32 324677 576318 735569
64 400137 640187 747044
