# p t_total_min t_total_avg t_total_max
1 1.00443e+07 1.00443e+07 1.00443e+07
2 5.12126e+06 5.12134e+06 5.12141e+06
4 3.05179e+06 3.05197e+06 3.05216e+06
8 4.76411e+06 4.76448e+06 4.76488e+06
16 3.24638e+06 3.25668e+06 3.29659e+06
32 841912 913759 958551
64 601687 815444 934519
