# p t_black_min t_black_avg t_black_max
1 4747 4747 4747
2 20438 1.74842e+07 3.49479e+07
4 52305 1.49962e+06 2.26378e+06
8 50221 836222 2.10442e+06
16 192373 913122 1.97976e+06
32 154299 554362 1.08572e+06
64 97996 326103 543138
