# p t_comm_min t_comm_avg t_comm_max
1 1835 1835 1835
2 6646 19314 31982
4 20169 218051 409742
8 45194 63994.4 74066
16 142135 1.14874e+06 2.14193e+06
32 214717 296572 357946
64 312363 506780 628075
