# p t_black_min t_black_avg t_black_max
1 1566 1566 1566
2 5768 1.0665e+06 2.12722e+06
4 12546 28429.2 57979
8 8626 64010 154026
16 23079 132694 219882
32 35728 138623 228980
64 36583 130521 296279
