# p t_red_min t_red_avg t_red_max
1 3004 3004 3004
2 9773 4.35677e+06 8.70376e+06
4 29557 2.5404e+07 5.08679e+07
8 31325 184971 454605
16 28854 163040 344462
32 17953 146375 257454
64 65901 178572 384468
