# p t_black_min t_black_avg t_black_max
1 2063 2063 2063
2 8157 4.48531e+06 8.96246e+06
4 25895 2.27195e+07 4.54361e+07
8 21874 427221 720915
16 30710 214555 423044
32 72038 239271 378998
64 59921 192173 363181
