# p t_total_min t_total_avg t_total_max
1 1.62975e+08 1.62975e+08 1.62975e+08
2 8.36197e+07 8.36202e+07 8.36207e+07
4 4.32154e+07 4.32163e+07 4.32172e+07
8 3.57555e+07 3.57568e+07 3.5758e+07
16 1.81333e+07 1.82481e+07 1.83362e+07
32 9.34636e+06 9.4377e+06 9.54953e+06
64 4.85096e+06 4.99109e+06 5.08072e+06
