# p t_red_min t_red_avg t_red_max
1 902 902 902
2 2399 2940.5 3482
4 2883 8057.5 16108
8 9125 33740.2 56525
16 6878 284104 1.01635e+06
32 6155 75120.2 154766
64 15749 116482 249478
