# p t_comm_min t_comm_avg t_comm_max
1 4505 4505 4505
2 12955 2.20046e+06 4.38796e+06
4 31419 84316.8 125911
8 22568 135108 324190
16 313299 419091 502228
32 411964 500620 620866
64 319326 501673 610840
