# p blocked_t_res_min blocked_t_res_avg blocked_t_res_max
1 83 83 83
2 324 367.5 411
4 1039 1089.25 1151
8 2851 3213.62 3753
16 20495 27516.2 38584
32 102177 163575 210874
64 48451 153531 197373
