# p t_res_min t_res_avg t_res_max
1 101 101 101
2 696 1598.5 2501
4 2068 4334 6717
8 2889 4984.62 8644
16 13079 316560 1.09408e+06
32 20531 162807 278219
64 12191 266704 461001
