# p blocked_t_res_min blocked_t_res_avg blocked_t_res_max
1 744 744 744
2 855 880 905
4 1769 1862 1987
8 2141 2419.62 2882
16 6618 70635.8 110700
32 79149 110561 152102
64 127449 206838 332418
